int_rank,like_rank,interactions,video_id,video_title,upload_date,upload_time,view_count,like_count,comment_count,video_duration,tags
28,85,5.18,DlIBKxB-nRg,Cycling Champion Vs Beginner On An E Bike | Who#39;s The Fastest Up Hill?,01/05/2021,09:00:04,235619,6726,559,10:42,"['climb', 'climbing', 'hill climb', 'hill', 'climber', 'andrew', 'feather', 'freddie', 'beginner', 'vs', 'amateur', 'pro', 'race', 'racing', 'ebike', 'bike', 'e-bike', 'is an amateur faster on an ebike', 'faster', 'fastest', 'grail', 'ON', 'watt', 'watts', 'watts per kilo', 'weight', 'mass', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'manon', 'lloyd', 'sec-feature', 'sca15', 'ᠫ', 'ཋ', 'ସ', 'ホ', 'ළ', 'Բ', 'Ժ', 'Ձ', 'ፕ15', '4317', 'Ղ']"
28,88,5.18,CVUnngkENeA,Are Road Pedals Faster than Flat Pedals? | Clips vs Flats Hill Climb Challenge,24/11/2019,10:00:01,303249,6357,946,09:31,"['pedal', 'pedals', 'clipless', 'clipless pedals', 'clip in pedals', 'clip pedals', 'clip', 'toe clip', 'flat pedals', 'flat', 'normal', 'flat pedal', 'hill climb', 'hill', 'climb', 'challenge', 'vs', 'faster', 'look', 'shimano', 'speedplay', 'pedalling', 'power', 'speed', 'cadence', 'cleats', 'cleat', 'cycling shoe', 'shoes', 'clip in shoes', 'clip shoeGCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', 'James', 'Chris', 'sec-feature', 'gc21s', 'ិ', 'gc11shs', 'ඃ', 'c3', 'r1', 'c1', 'h3', 'gc11sas', 'Ꮋ', 'n1', 'Ղ', 'ཋ', 'ሙ', 'ළ', 'Ա', 'Թ', 'Լ', 'Ծ', 'Հ', 'ፕ15', '3793']"
30,52,5.17,Jq2NKKtUFnI,What#39;s The Best Way To Ride To Work? | GCN Commuter Challenge,23/07/2022,09:00:20,493195,10663,1493,18:36:00,"['commuting', 'commute', 'travel', 'travelling', 'work', 'working', 'job', 'ribble', 'gravel', 'gravel bike', 'all road', 'all-road', 'all road bike', 'all-road bike', 'fast', 'fast bike', 'commuter bike', 'commuter', 'ebike', 'e bike', 'e-bike', 'best bike', 'super bike', 'superbike', 'titanium', 'ti', 'carbon', 'carbon fiber', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'sec-feature', 'ꗧ', 'Ղ', 'ሙ', 'ସ', 'ホ', 'ᠫ', '൱', 'ዩ', 'ළ', 'э', 'Բ', 'Ժ', 'Լ', 'Ծ', 'Հ', 'ፕ15', 'サ', 'ኾ', 'ዮ', 'ጎ', '4765']"
31,31,5.14,WIdpuVGO5zY,The World#39;s Biggest Climb? | GCN Vs Alto de Letras,22/03/2020,10:00:12,509774,16410,984,15:30,"['letras', 'alto de letras', 'colombia', 'columbia', 'epic ride', 'climb', 'climbing', 'mountain', 'altitude', 'long climb', 'longest climb', '80km', 'uphill', 'riding uphill', 'cycling uphill', 'cycling in colombia', 'high altitude', 'endurance', 'mountain pass', 'climber', 'south america', 'andes', 'egan bernal', 'strava', 'cafe de colombia', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', 'si', 'richardson', 'sec-feature', 'ិ', 'gc11shs', 'ඃ', 'c3', 'c1', 'gc11sas', 'Ղ', 'ཋ', 'ሙ', 'ଙ', 'パ', 'ළ', 'Բ', 'Ժ', 'ፕ15', '3912']"
32,103,5.13,65t3dPAZUMs,Can You Get Fit From Riding An E Bike?,08/12/2018,10:00:00,346783,5507,1236,11:04,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'e bike', 'e-bike', 'electric bike', 'fit', 'fitter', 'get fit', 'e bike workout', 'e-bike workout', 'motor', 'engine', 'strava', 'kom', 'fazua', 'pinarello', 'pina', 'nytro', 'electric road bike', 'climb', 'speed limit', 'restricted', 'watts', 'power', 'heart rate', 'hill climb', 'new e-bike', 'new bike', 'first look', 'first ride', 'GCN Cycling', 'Cycling tips', 'cycling workout', 'cycling training', 'velo', 'dan lloyd', 'sec-feature', 'gc04s1', 'c3', 'Ղ', 'ཋ', 'ก', 'Ա', 'Ձ', 'හ']"
33,71,5.09,TloXwAlSkww,Is A Gravel Bike With Full Suspension Faster?,08/09/2019,09:00:08,398486,8233,1210,15:42,"['gravel', 'gravel bike', 'full-suspension', 'full-sus', 'full suspension', 'full', 'suspension', 'vs', 'versus', 'fast', 'faster', 'quick', 'quicker', 'niner', 'mcr', 'niner bikes', 'singletrack', 'gravel riding', 'all road', 'allroad', 'groad', 'offroad', 'off-road', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', 'simon richardson', 'sec-feature', 'ஐ', 'gc11shs', 'ඃ', 'c3', 'Ղ', 'ཋ', 'ඪ', 'ළ', 'Բ', 'Ի', 'Ծ', 'Ձ', 'ፕ15', '3683']"
34,68,5.05,IcE8kewRrbQ,"What Happens When A Beginner Cyclist Rides A £10,000 Super Bike?",05/08/2022,13:27:34,378050,8807,1036,18:05,"['expensive', 'luxury', 'super', 'super bike', 'superbike', 'carbon', 'carbon fiber', 'carbon fibre', 'fiber', 'fibre', 'orbea', 'pinarello', 'beginner', 'amateur', 'pro', 'beginner cyclist', 'amateur cyclist', 'climb', 'climbing', 'light', 'lightweight', 'sprint', 'sprinter', 'climber', 'sprinting', 'tt', 'time trial', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'sec-feature', 'sca15', 'gc21s', 'ិ', 'ꗧ', 'r1', 'ꗶ', 'Ղ', 'n1', 'ሙ', 'ସ', 'ଙ', 'ホ', 'ᠫ', 'ළ', 'Ꮽ', 'Ա', 'Ժ', 'Լ', 'Ծ', 'Ձ', 'ፕ15', 'ェ', 'ጎ', '4778']"
35,98,5.01,B4xJVaU35Ko,"Vintage Bike, Modern Rider - How Hard Is The World#39;s Oldest Bike Race?",13/02/2022,10:00:08,227484,5717,575,17:00:00,"['vintage', 'steel', 'is', 'real', 'milano', 'torino', 'retro', 'race', 'racing', 'endurance', 'modern', 'soft', 'hard', 'as', 'nails', 'old', 'school', ""don't make them like they used to"", 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'race news', 'race news show', 'racing news', 'GCN Cycling', 'velo', 'oliver', 'ollie', 'bridgewood', 'sec-feature', 'ិ', 'ꗧ', 'ꗶ', 'Ղ', 'ཋ', 'ሙ', 'ସ', 'ළ', 'ꕉ', 'δ', 'Բ', 'ፕ14', 'ዮ', '4605', 'superga']"
35,18,5.01,PJ8o0f2aAjA,Can A Gravel Bike Keep Up Off Road? | GCN Vs GMBN,30/08/2020,09:00:06,687093,22418,1206,13:07,"['shimano', 'grx', 'gravel', 'mountian', 'bike', 'biking', 'mtb', 'downhill', 'cross', 'country', 'shred', 'beginner', 'jump', 'off', 'road', 'groupset', 'clutch', 'shift', 'shifting', 'rear', 'mech', 'front', 'shifter', 'brakes', 'hydraulic', 'chain', 'enduro', 'vs', 'roadie', 'mtber', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'ollie', 'bridgewood', 'james', 'lowsley', 'williams', 'hank', 'sec-feature', 'sca15', 'gc21s', 'c1', 'gc11sas', 'n1', 'ସ', 'ଙ', 'パ', 'ィ', 'ゲ', 'ዩ', 'ළ', 'Բ', 'Ժ', 'Ի', 'Ձ', 'ፕ15', 'ズ', 'ዮ', 'ፎ', '4073']"
37,65,4.95,5kX0ZlC3MbE,Running Vs Cycling | Which Sport Burns More Calories?,24/01/2021,10:00:01,385494,9034,1018,08:42,"['run', 'calories', 'calorie', 'kilocalorie', 'kilocalories', 'which', 'burns', 'burn', 'more', 'training', 'gtn', 'triathlon', 'duathlon', 'running', 'fast', 'quick', 'weight', 'weight loss', 'faster', 'hour', 'efficient', 'gcn vs gtn', 'science', 'gcn does science', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'sec-feature', 'sca15', 'ិ', 'gc11shs', 'ଐ', 'r1', 'ꗶ', 'n1', 'Ղ', 'ཋ', 'ោ', 'ሙ', 'ସ', 'ଙ', 'ホ', 'Բ', 'ፕ1', '4220']"
